"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene_10319",4680.87093513861,0.661334883028645,0.0753337076846548,8.77873800924518,1.65319125886288e-18,6.6563728363743e-17
"gene_7915",2456.3879374269,1.03535307193867,0.117958535523301,8.77726285211598,1.67501210917186e-18,6.71778385901984e-17
"gene_1533",1353.52888303202,-0.899324235670406,0.102508303434792,-8.7731842742133,1.73683459108377e-18,6.93851850117725e-17
"gene_3151",12204.9999149027,2.94524067323242,0.3359704996916,8.76636691595236,1.84523993289205e-18,7.34290614540349e-17
"gene_2116",559.701112013092,-0.945497880718596,0.107995904248233,-8.75494202581356,2.04208426040109e-18,8.09472702756665e-17
"gene_6870",221.621672241381,-1.99435008945939,0.22799837050316,-8.74721203076207,2.18688551343685e-18,8.63524252738171e-17
"gene_420",1453.61306048705,1.08591022832861,0.124227714807628,8.74128796468797,2.30467743639727e-18,9.0653600546288e-17
"gene_12092",1578.17721095344,0.778600894629923,0.0891156603128663,8.73697049313689,2.39444996073858e-18,9.38239070822739e-17
"gene_2147",71938.1604482868,-0.610586492683783,0.0698910020452281,-8.73626754254659,2.40938958854802e-18,9.40489592445826e-17
"gene_1314",786.674057471103,1.52121873853975,0.174239413202964,8.73062363202378,2.53272178410814e-18,9.84872459546539e-17
"gene_8183",1731.13550146782,-1.05737570405808,0.121131150939853,-8.7291806926124,2.56524106771649e-18,9.93739409073355e-17
"gene_493",684.770883927396,0.963235249201346,0.110372132394918,8.72715991165992,2.61147706924107e-18,1.00783305611805e-16
"gene_2641",1308.37884220248,1.76970030673834,0.203265618591077,8.7063435469555,3.1383465277945e-18,1.20661165187046e-16
"gene_3292",1206.50509156737,1.52279782727328,0.174939376542421,8.70471735620947,3.18367152315336e-18,1.21945350813818e-16
"gene_9017",433.438806997498,1.42511041868398,0.163727037237078,8.70418498210783,3.19864974527942e-18,1.22061906511092e-16
"gene_7690",680.069801834459,1.25349865663648,0.144368326827243,8.68264309897054,3.86676258481048e-18,1.47008851133296e-16
"gene_8625",441.194418174035,2.78514508262691,0.321527545675047,8.66222854026237,4.6262968273488e-18,1.75233843160356e-16
"gene_5163",62.51052479008,-2.48372063152141,0.286944183125993,-8.65576226171779,4.89628260490296e-18,1.84775949078755e-16
"gene_3217",17891.6143606536,1.72389602972401,0.199523503786611,8.64006493975617,5.61810784147139e-18,2.11236723877676e-16
"gene_306",41647.3439687338,0.782296473043593,0.0906089953387148,8.6337616935185,5.93666155633506e-18,2.22396475225783e-16
"gene_9834",625.225407706957,0.918681499258942,0.106426441357834,8.63207946763994,6.02465021785971e-18,2.24868969992888e-16
"gene_10298",1211.26468781678,1.21128385717214,0.140461413208038,8.62360579683265,6.48781810150869e-18,2.41276057178652e-16
"gene_8877",1394.41222251019,-0.937374993047369,0.108764449963307,-8.61839501200624,6.78990954610544e-18,2.51595670029059e-16
"gene_11767",232.022254640479,-1.21372581154266,0.140842685791138,-8.61759916551538,6.83725431714957e-18,2.52435378705735e-16
"gene_1949",411.026366532256,1.45391185423776,0.168778842572009,8.61430160369449,7.03692238766355e-18,2.58872680786457e-16
"gene_8275",358.750558678549,-1.9241464027253,0.223460551808942,-8.61067596561938,7.26310193946053e-18,2.66235639909903e-16
"gene_9078",1572.20151278723,-0.710629468528176,0.0826985867778458,-8.59300619534344,8.47229676996821e-18,3.09450639523089e-16
"gene_1836",4150.15139113647,1.74389994920989,0.204034083549669,8.5471011454092,1.26218573200338e-17,4.59372721750838e-16
